Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2050000 through 2059999



2050000 --> Thursday, 05 - 11
2050511 --> Thursday, 04 - 30

2050512 --> Thursday, 05 - 19

2050513 --> Thursday, 05 - 11

2050514 --> Thursday, 05 - 31

2050515 --> Thursday, 05 - 16

2050516 --> Thursday, 05 - 07

2050517 --> Thursday, 05 - 27

2050518 --> Thursday, 05 - 12

2050519 --> Thursday, 05 - 04

2050520 --> Thursday, 05 - 23

2050521 --> Thursday, 05 - 15

2050522 --> Thursday, 05 - 28

2050523 --> Thursday, 05 - 20

2050524 --> Thursday, 05 - 11

2050525 --> Thursday, 05 - 31

2050526 --> Thursday, 05 - 16

2050527 --> Thursday, 05 - 08

2050528 --> Thursday, 05 - 27

2050529 --> Thursday, 05 - 12

2050530 --> Thursday, 05 - 04

2050531 --> Thursday, 05 - 24

2050532 --> Thursday, 05 - 08

2050533 --> Thursday, 05 - 28

2050534 --> Thursday, 05 - 20

2050535 --> Thursday, 05 - 05

2050536 --> Thursday, 05 - 24

2050537 --> Thursday, 05 - 16

2050538 --> Thursday, 05 - 01

2050539 --> Thursday, 05 - 21

2050540 --> Thursday, 05 - 12

2050541 --> Thursday, 06 - 01

2050542 --> Thursday, 05 - 17

2050543 --> Thursday, 05 - 09

2050544 --> Thursday, 05 - 28

2050545 --> Thursday, 05 - 20

2050546 --> Thursday, 05 - 05

2050547 --> Thursday, 05 - 25

2050548 --> Thursday, 05 - 16

2050549 --> Thursday, 05 - 01

2050550 --> Thursday, 05 - 21

2050551 --> Thursday, 05 - 13

2050552 --> Thursday, 06 - 01

2050553 --> Thursday, 05 - 17

2050554 --> Thursday, 05 - 09

2050555 --> Thursday, 05 - 29

2050556 --> Thursday, 05 - 13

2050557 --> Thursday, 05 - 05

2050558 --> Thursday, 05 - 25

2050559 --> Thursday, 05 - 10

2050560 --> Thursday, 05 - 29

2050561 --> Thursday, 05 - 21

2050562 --> Thursday, 05 - 06

2050563 --> Thursday, 05 - 26

2050564 --> Thursday, 05 - 17

2050565 --> Thursday, 05 - 09

2050566 --> Thursday, 05 - 22

2050567 --> Thursday, 05 - 14

2050568 --> Thursday, 05 - 05

2050569 --> Thursday, 05 - 25

2050570 --> Thursday, 05 - 10

2050571 --> Thursday, 05 - 30

2050572 --> Thursday, 05 - 21

2050573 --> Thursday, 05 - 06

2050574 --> Thursday, 05 - 26

2050575 --> Thursday, 05 - 18

2050576 --> Thursday, 05 - 02

2050577 --> Thursday, 05 - 22

2050578 --> Thursday, 05 - 14

2050579 --> Thursday, 06 - 03

2050580 --> Thursday, 05 - 18

